id,restaurant,url
2,Applebee’s Grill + Bar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/AB_Brand_Refresh_Logo_R.png/640px-AB_Brand_Refresh_Logo_R.png
3,Arby’s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNjRBfQPvTFYSBWLzwRkHmtDFYHcD-RqOoFQ&s
4,Blister’s BBQ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4aswuGU9BrBDgShwNlz5ozxq-SLvvZlywxQ&s
5,Boba Coffee Soda – Crush Drinks,"https://static.wixstatic.com/media/df749e_edcd9097de1a4a77973a69d81e032a94~mv2.png/v1/crop/x_338,y_726,w_1335,h_683/fill/w_271,h_139,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/Crush%20Logo%20cup%20design%20(1088%20x%20713%20px)%20(516%20x%20320%20px)%20(200%20x%20200%20px)%20(13%20%C3%97%2013%20in).png"
6,Bocados,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4dp0ECfd6vLZ2gAzCddY7jw4Z1cTNVJ1aYw&s
7,Burger King,https://cdn.prod.website-files.com/631b4b4e277091ef01450237/635821f727079c639eb64b5d_BK_LOGO_PRIMARY_%E2%94%AC%C2%AB_SU_RGB.png
8,Café Rio Fresh Modern Mexican,https://vineyardtownecenter.com/wp-content/uploads/sites/17/2023/10/cafe-rio.png
9,Café Sabor,https://www.cafesabor.com/templates/yootheme/cache/c2/logo-c28985ac.webp
10,Casa De Ochoa,"https://static.wixstatic.com/media/0163c6_1c419357759c486d90b9f3934d86d086~mv2.png/v1/fill/w_741,h_472,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/CASA%20DE%20OCHOA%20(1)-09.png"
11,Chocolate Plunge,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM74jHLVS3ZsXzETKu0yOPd79neBoJVtQliQ&s
12,Cold Stone Creamery,https://www.coldstonecreamery.com/assets/webp/cold-stone-creamery-logo.webp
13,Costa Vida,https://cdn.shopify.com/s/files/1/0061/2587/9369/files/CV_logo_2023_2.png?v=1700333079
14,Cupbop – Korean BBQ in a Cup,https://img.ctykit.com/cdn/az-tempe/images/cupbop-logo-black-vertical-500-pxl.png
15,Da Pineapple Grill,https://www.pineapplegrill.com/wp-content/uploads/2019/06/DPG-LOGO-2019.png
16,Dairy Queen Grill & Chill,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Dairy_Queen_logo.svg/1200px-Dairy_Queen_logo.svg.png
17,Domino’s Pizza,https://logos-world.net/wp-content/uploads/2021/08/Dominos-Emblem.png
18,El Rancho Taqueria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT1VQDEYyQI1YbCw2b7V2XUSUdVKODUUxjDxg&s
19,Florence’s Exquisite Chocolates & Candies,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover/b71c4f24-a64e-478b-b0c3-bed1c6cc407d.jpg"
20,Fresco Kitchen And Grill,https://frescokitchengrill.com/wp-content/uploads/2017/04/cropped-fresco-logo-no-background.png
21,G’s Dairy Delights,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoviFMFjvHRS7ITNAITFqMoZgVFcDPiMBXqg&s
22,Gringos,https://pbs.twimg.com/profile_images/1058006157418065920/R0So97j3_400x400.jpg
23,Guerrero’s Mexican Food,https://s3-media0.fl.yelpcdn.com/bphoto/ED6yrAs8_FPtvv-S7ipSlg/o.jpg
24,Jimmy John’s,https://upload.wikimedia.org/wikipedia/en/thumb/7/7b/Jimmy_John%27s_%28logo%29.svg/2048px-Jimmy_John%27s_%28logo%29.svg.png
25,Kainoa’s Hawaiian Grill,"https://menufyproduction.imgix.net/637859896467085289+762815.png?fit=crop&w=&h=350&auto=compress,format"
26,Kiwi Loco,https://www.kiwilocoyogurt.com/wp-content/themes/kiwiloco/images/kiwiloco_logo.png
27,Little Caesars Pizza,https://1000logos.net/wp-content/uploads/2023/04/Little-Caesars-Logo-1971.png
28,Mandarin Restaurant,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/ddcbda7c-b56c-40d6-b1d0-52ae228ecb4b.png"
29,Maverik Adventure’s First Stop,https://maverikcenter.com.ismmedia.com/ISM3/std-content/repos/Top/Venue%20Information/Images/19_MaverikLogo.png
30,McDonald’s,https://www.mcdonalds.com/content/dam/sites/usa/nfl/icons/arches-logo_108x108.jpg
31,Millhollow Restaurant,https://beehive.org/wp-content/uploads/2021/08/26.png
32,Ole’s Diner,http://www.olesdiner.com/uploads/1/0/2/0/10202596/657196.jpg
33,Original Thai Restaurant,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/9df98996-f431-471a-9b73-355d6cdd368e.jpeg"
34,Papa Johns Pizza,https://download.logo.wine/logo/Papa_John's_Pizza/Papa_John's_Pizza-Logo.wine.png
35,Papa Murphy’s | Take ‘N’ Bake Pizza,https://papamurphysfranchise.com/wp-content/uploads/2021/07/papam.png
36,Parks Place Smokehouse,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTriu-DTC5EDGJiij6IaxgYbhs8Yw5_HcFCA&s
37,Pizza Hut,https://www.pizzahut.com/assets/w/images/Logo_PH_Retro@2x.png
38,Pizza Pie Café,https://explorerexburg.com/wp-content/uploads/sites/11/2017/03/5p3G2c4kTrO8lPtQ1rqO_Pizza_Pie_Cafe_Logo.jpg
39,Port of Subs,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Port_of_Subs_Logo.png/165px-Port_of_Subs_Logo.png
40,Red Rabbit Grill,"https://static.wixstatic.com/media/aec8cd_1b08dfff687b45e480cb5975c1f7f679~mv2.png/v1/fill/w_493,h_493,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/RRG_Final_Circle_Color-03.png"
41,Righteous Slice,https://d28f3w0x9i80nq.cloudfront.net/restaurantImages/73fab7fb-2a96-43c6-af4e-cb3f6cfc7207/LOGO-01.jpg
42,Section 89 Brewed Cocoa & Energy,https://d28f3w0x9i80nq.cloudfront.net/restaurantImages/06ffdf27-77d9-4237-b9ca-8ec98ceef3f8/Section89-Logo-2024-XL.png
43,Sparks Barbecue,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQf7sB70ZgZ1yTdWhN4zGVe_g-FYVChHcy9XQ&s
44,Steak N’ Berries,"https://img.cdn4dd.com/cdn-cgi/image/fit=contain,width=1200,height=672,format=auto/https://doordash-static.s3.amazonaws.com/media/restaurant/cover_square/62e1a8f4-a83e-40da-b8be-e47faffb6116.PNG"
45,Subway,https://newsroom.subway.com/image/Subway+Hi-Res+Logo_asset_thumbnail.png
46,Taco Bell,https://static.cdnlogo.com/logos/t/14/taco-bell.png
